DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-05-14	32358372	Ouyang H	2020-05-01	Medicine (Baltimore)	www.ncbi.nlm.nih.gov/pubmed/32358372	Constructing gene network for type 1 narcolepsy based on genome-wide association study and differential gene expression analysis (STROBE).	Narcolepsy with cataplexy	903 Chinese ancestry cases, 1,982 Chinese ancestry controls	NA	2q37.3	2	241837710	NR	NEU4 - PDCD1	ENSG00000204099	ENSG00000188389		20297	12174	rs34071003-?	rs34071003	0	34071003	intergenic_variant	1	NR	4E-6	5.3979400086720375		1.328	[1.1789-1.4980]	Affymetrix [237955] (imputed)	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST011662	Genome-wide genotyping array
2021-05-14	32358372	Ouyang H	2020-05-01	Medicine (Baltimore)	www.ncbi.nlm.nih.gov/pubmed/32358372	Constructing gene network for type 1 narcolepsy based on genome-wide association study and differential gene expression analysis (STROBE).	Narcolepsy with cataplexy	903 Chinese ancestry cases, 1,982 Chinese ancestry controls	NA	3q12.1	3	98635818	NR	CPOX - WWP1P1	ENSG00000080819	ENSG00000244153		42170	21984	rs58475214-?	rs58475214	0	58475214	intergenic_variant	1	NR	5E-6	5.301029995663981		1.393	[1.2090-1.6060]	Affymetrix [237955] (imputed)	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST011662	Genome-wide genotyping array
2021-05-14	32358372	Ouyang H	2020-05-01	Medicine (Baltimore)	www.ncbi.nlm.nih.gov/pubmed/32358372	Constructing gene network for type 1 narcolepsy based on genome-wide association study and differential gene expression analysis (STROBE).	Narcolepsy with cataplexy	903 Chinese ancestry cases, 1,982 Chinese ancestry controls	NA	4q32.1	4	160738233	NR	NA - RPS14P7		ENSG00000242635			80189	rs3908007-?	rs3908007	0	3908007	intergenic_variant	1	NR	4E-6	5.3979400086720375		0.7397	[0.6511-0.8475]	Affymetrix [237955] (imputed)	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST011662	Genome-wide genotyping array
2021-05-14	32358372	Ouyang H	2020-05-01	Medicine (Baltimore)	www.ncbi.nlm.nih.gov/pubmed/32358372	Constructing gene network for type 1 narcolepsy based on genome-wide association study and differential gene expression analysis (STROBE).	Narcolepsy with cataplexy	903 Chinese ancestry cases, 1,982 Chinese ancestry controls	NA	5q14.3	5	83937200	NR	ZP3P1 - EDIL3	ENSG00000250013	ENSG00000164176		61379	3354	rs10942340-?	rs10942340	0	10942340	intergenic_variant	1	NR	9E-6	5.045757490560675		1.322	[1.1690-1.4960]	Affymetrix [237955] (imputed)	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST011662	Genome-wide genotyping array
2021-05-14	32358372	Ouyang H	2020-05-01	Medicine (Baltimore)	www.ncbi.nlm.nih.gov/pubmed/32358372	Constructing gene network for type 1 narcolepsy based on genome-wide association study and differential gene expression analysis (STROBE).	Narcolepsy with cataplexy	903 Chinese ancestry cases, 1,982 Chinese ancestry controls	NA	11q22.2	11	102519612	NR	TMEM123 - MMP7	ENSG00000152558	ENSG00000137673		49228	896	rs17882041-?	rs17882041	0	17882041	intergenic_variant	1	NR	1E-6	6.0		0.6593	[0.5568-0.7807]	Affymetrix [237955] (imputed)	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST011662	Genome-wide genotyping array
2021-05-14	32358372	Ouyang H	2020-05-01	Medicine (Baltimore)	www.ncbi.nlm.nih.gov/pubmed/32358372	Constructing gene network for type 1 narcolepsy based on genome-wide association study and differential gene expression analysis (STROBE).	Narcolepsy with cataplexy	903 Chinese ancestry cases, 1,982 Chinese ancestry controls	NA	13q14.11	13	40251245	NR	LINC00598			ENSG00000215483			rs932831-?	rs932831	0	932831	intron_variant	0	NR	7E-6	5.154901959985743		1.346	[1.1830-1.5310]	Affymetrix [237955] (imputed)	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST011662	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy	1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls	2,693 European ancestry cases, 11,495 European ancestry controls	21q22.11	21	33316948	IL10RB, INFAR1	IL10RB - IFNAR1	ENSG00000243646	ENSG00000142166		6761	7481	rs2834188-?	rs2834188	0	2834188	regulatory_region_variant	1	0.705	2E-8	7.698970004336019		1.3	[1.18-1.41]	Affymetrix [603382]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002260	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy	1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls	2,693 European ancestry cases, 11,495 European ancestry controls	14q11.2	14	22533736	TRA	TRAJ10 - TRAJ9	ENSG00000211879	ENSG00000211880		176	1818	rs1154155-G	rs1154155	0	1154155	regulatory_region_variant	1	0.148	5E-49	48.30102999566398		1.64	[1.53-1.75]	Affymetrix [603382]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002260	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy	1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls	2,693 European ancestry cases, 11,495 European ancestry controls	19p13.2	19	10107354	P2RY11, DNMT1	PPAN, PPAN-P2RY11			ENSG00000130810, ENSG00000243207			rs1551570-?	rs1551570	0	1551570	intron_variant	0	0.458	4E-10	9.397940008672037		1.32	[1.2-1.43]	Affymetrix [603382]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002260	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy	1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls	2,693 European ancestry cases, 11,495 European ancestry controls	7q34	7	142357119	TRB	TRBV7-2 - TRBV8-1	ENSG00000282939	ENSG00000243889		3761	1520	rs2854536-?	rs2854536	0	2854536	intergenic_variant	1	0.292	4E-8	7.3979400086720375		1.28	[1.18-1.41]	Affymetrix [603382]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002260	Genome-wide genotyping array
