"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs1883025-<b>T</b>,"2 x 10-9",,0.224,'-,"0.09 unit decrease",[0.061-0.119],ABCA1,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009918,9:104902020
rs1532085-<b>G</b>,"6 x 10-16",,0.544,'-,"0.104 unit decrease",[0.079-0.129],ALDH1A2,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009918,15:58391167
rs3764261-<b>A</b>,"2 x 10-57",,0.167,'-,"0.272 unit increase",[0.24-0.31],"HERPUD1, CETP","HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009918,16:56959412
rs737337-<b>C</b>,"3 x 10-7",,0.274,'-,"0.073 unit decrease",[0.046-0.1],DOCK6,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009918,19:11236817
rs2303790-<b>G</b>,"3 x 10-29",,0.027,'-,"0.44 unit increase",[0.36-0.52],CETP,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009918,16:56983380
rs2075291-<b>A</b>,"1 x 10-29",,0.06,'-,"0.3 unit decrease",[0.24-0.36],APOA5,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009918,11:116790676
rs769449-<b>A</b>,"4 x 10-10",,0.081,'-,"0.14 unit decrease",[0.1-0.18],APOE,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009918,19:44906745
rs2048537-<b>T</b>,"3 x 10-7",,0.55,'-,"0.08 unit increase",[0.041-0.119],"HMGB1P25, MBOAT2","HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,2:9014813
rs13032427-<b>T</b>,"9 x 10-7",,0.22,'-,"0.1 unit increase",[0.061-0.139],LINC01876,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,2:156070451
rs11243647-<b>G</b>,"1 x 10-7",,0.21,'-,"0.11 unit increase",[0.071-0.149],"NTNG2, MED27","HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,9:132158158
rs147116709-<b>A</b>,"5 x 10-10",,0.013,'-,"0.47 unit increase",[0.31-0.63],GRID1,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,10:86079952
rs369681417-<b>A</b>,"7 x 10-7",,0.02,'-,"0.31 unit increase",[0.19-0.43],PSME2P2,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,13:48809176
rs11846882-<b>C</b>,"2 x 10-7",,0.02,'-,"0.32 unit increase",[0.2-0.44],"ESR2, SYNE2","HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,14:64183588
rs990225-<b>T</b>,"8 x 10-7",,0.71,'-,"0.09 unit decrease",[0.051-0.129],CTXND1,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,15:80247256
rs370479509-<b>TAC</b>,"9 x 10-7",,0.19,'-,"0.11 unit increase",[0.071-0.149],ABCA10,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,17:69184917
rs71329836-<b>A</b>,"9 x 10-7",,0.15,'-,"0.12 unit increase",[0.081-0.159],"CYYR1-AS1, CYYR1","HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,21:26486620
rs28549386-<b>C</b>,"5 x 10-7",(women),0.3,'-,"0.12 unit decrease",[0.081-0.159],DCLK2,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,4:150168879
rs76062157-<b>G</b>,"6 x 10-7",(women),0.01,'-,"0.53 unit decrease",[0.31-0.75],'-,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,17:70634590
rs147116709-<b>A</b>,"3 x 10-8",(women),0.01,'-,"0.58 unit increase",[0.38-0.78],GRID1,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST009996,10:86079952
chr16:56993324-<b>?</b>,"3 x 10-75",,'-,'-,"3.2594 unit increase",'-,'-,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST011019,"Mapping not available"
chr19:45422946-<b>?</b>,"3 x 10-15",,'-,'-,"1.7976 unit decrease",'-,'-,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST011019,"Mapping not available"
chr8:19830921-<b>?</b>,"4 x 10-26",,'-,'-,"2.0974 unit increase",'-,'-,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST011019,"Mapping not available"
chr9:107664301-<b>?</b>,"3 x 10-19",,'-,'-,"1.6082 unit decrease",'-,'-,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST011019,"Mapping not available"
chr11:116586283-<b>?</b>,"4 x 10-25",,'-,'-,"1.6085 unit increase",'-,'-,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST011019,"Mapping not available"
chr12:112645401-<b>?</b>,"3 x 10-18",,'-,'-,"1.4897 unit decrease",'-,'-,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST011019,"Mapping not available"
chr15:58723675-<b>?</b>,"4 x 10-40",,'-,'-,"1.9952 unit increase",'-,'-,"HDL cholesterol levels","HDL cholesterol change measurement",'-,GCST011019,"Mapping not available"
rs4841132-<b>A</b>,"2 x 10-63",,0.1012,'-,'-,'-,"RNU6-1151P, RNU6-526P","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,8:9326086
rs1689803-<b>T</b>,"2 x 10-12",,0.342,'-,'-,'-,LINC01344,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,1:182192694
rs56374641-<b>T</b>,"2 x 10-54",,0.1344,'-,'-,'-,EDC4,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,16:67874810
rs7103270-<b>T</b>,"7 x 10-12",(EA),0.8586,'-,'-,'-,FOLH1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,11:49278905
rs380267-<b>A</b>,"8 x 10-38",,0.7885,'-,'-,'-,"LILRA5, MIR4752","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,19:54295230
rs5749502-<b>A</b>,"1 x 10-11",,0.2056,'-,'-,'-,UBE2L3,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,22:21590807
